FedEx Ground Standard List Rates										
"Effective 2/28/2011"										

Weight	US Ground	US Ground	US Ground	US Ground	US Ground	US Ground	US Ground	To Hawaii	To Puerto Rico	Intra Oahu	To Alaska	To Canada	To Canada	From Hawaii	From Hawaii	Intra Alaska	Alaska to US	Alaska to US
129	$55.57 	$56.40 	$58.50 	$61.17 	$66.59 	$72.71 	$79.33 	$280.09 	-	$47.47 	$280.09 	$95.55 	$154.10 	$118.56 	$128.57 	$54.96 	$118.56 	$128.57 
130	$56.10 	$56.94 	$59.04 	$61.65 	$67.07 	$73.23 	$79.92 	$282.33 	-	$48.10 	$282.33 	$95.55 	$154.10 	$119.33 	$129.35 	$55.61 	$119.33 	$129.35 
131	$56.64 	$57.50 	$59.63 	$62.19 	$67.58 	$73.77 	$80.89 	$285.93 	-	$48.71 	$285.93 	$97.75 	$160.25 	$120.11 	$130.15 	$56.23 	$120.11 	$130.15 
132	$57.17 	$58.05 	$60.19 	$62.69 	$68.08 	$74.28 	$81.48 	$288.17 	-	$49.34 	$288.17 	$97.75 	$160.25 	$120.91 	$130.92 	$56.87 	$120.91 	$130.92 
133	$57.70 	$58.61 	$60.76 	$63.19 	$68.56 	$74.81 	$82.07 	$290.42 	-	$49.95 	$290.42 	$97.75 	$160.25 	$121.68 	$131.68 	$57.48 	$121.68 	$131.68 
134	$58.23 	$59.15 	$61.34 	$63.73 	$69.09 	$75.32 	$82.67 	$292.67 	-	$50.60 	$292.67 	$97.75 	$160.25 	$122.46 	$132.46 	$58.12 	$122.46 	$132.46 
135	$58.68 	$59.72 	$61.90 	$64.26 	$69.64 	$75.87 	$83.25 	$294.91 	-	$51.21 	$294.91 	$97.75 	$160.25 	$123.25 	$133.16 	$58.73 	$123.25 	$133.16 
136	$59.16 	$60.26 	$62.49 	$64.80 	$70.19 	$76.42 	$83.87 	$297.15 	-	$51.83 	$297.15 	$100.00 	$166.45 	$124.06 	$133.86 	$59.38 	$124.06 	$133.86 
137	$59.69 	$60.85 	$63.08 	$65.27 	$70.61 	$76.89 	$84.46 	$299.41 	-	$52.45 	$299.41 	$100.00 	$166.45 	$124.83 	$134.55 	$60.00 	$124.83 	$134.55 
138	$60.23 	$61.42 	$63.69 	$65.88 	$71.30 	$77.52 	$85.04 	$301.66 	-	$53.08 	$301.66 	$100.00 	$166.45 	$125.62 	$135.24 	$60.63 	$125.62 	$135.24 
139	$60.76 	$62.03 	$64.28 	$66.43 	$71.85 	$78.06 	$85.64 	$303.90 	-	$53.69 	$303.90 	$100.00 	$166.45 	$126.39 	$135.91 	$61.25 	$126.39 	$135.91 
140	$61.32 	$62.63 	$64.88 	$66.98 	$72.42 	$78.61 	$86.24 	$306.01 	-	$54.32 	$306.01 	$100.00 	$166.45 	$127.16 	$136.63 	$61.89 	$127.16 	$136.63 
141	$61.85 	$63.20 	$65.51 	$67.50 	$72.98 	$79.16 	$86.83 	$308.15 	-	$54.93 	$308.15 	$102.20 	$172.50 	$127.93 	$137.30 	$62.50 	$127.93 	$137.30 
142	$62.10 	$63.80 	$66.11 	$68.05 	$73.52 	$79.70 	$87.41 	$310.32 	-	$55.54 	$310.32 	$102.20 	$172.50 	$128.74 	$138.02 	$63.12 	$128.74 	$138.02 
143	$62.65 	$64.39 	$66.72 	$68.61 	$74.08 	$80.26 	$88.01 	$312.42 	-	$56.19 	$312.42 	$102.20 	$172.50 	$129.52 	$138.71 	$63.77 	$129.52 	$138.71 
144	$63.20 	$64.98 	$67.34 	$69.15 	$74.64 	$80.81 	$88.60 	$314.57 	-	$56.79 	$314.57 	$102.20 	$172.50 	$130.31 	$139.49 	$64.39 	$130.31 	$139.49 
145	$63.42 	$65.60 	$67.96 	$69.71 	$75.21 	$81.35 	$89.19 	$316.79 	-	$57.42 	$316.79 	$102.20 	$172.50 	$131.07 	$140.25 	$65.03 	$131.07 	$140.25 
146	$63.97 	$66.19 	$68.57 	$70.24 	$75.76 	$81.89 	$89.76 	$319.05 	-	$58.04 	$319.05 	$104.40 	$178.55 	$131.85 	$141.03 	$65.65 	$131.85 	$141.03 
147	$64.51 	$66.79 	$69.21 	$70.80 	$76.31 	$82.44 	$90.38 	$321.29 	-	$58.67 	$321.29 	$104.40 	$178.55 	$132.65 	$141.80 	$66.27 	$132.65 	$141.80 
148	$64.92 	$67.39 	$69.82 	$71.36 	$76.88 	$83.00 	$90.97 	$323.53 	-	$59.27 	$323.53 	$104.40 	$178.55 	$133.45 	$142.55 	$66.89 	$133.45 	$142.55 
149	$65.28 	$68.00 	$70.44 	$71.90 	$77.43 	$83.53 	$92.00 	$327.35 	-	$59.91 	$327.35 	$104.40 	$178.55 	$134.23 	$143.35 	$67.53 	$134.23 	$143.35 
150	$65.83 	$68.62 	$71.61 	$74.32 	$78.02 	$84.09 	$92.60 	$329.60 	-	$60.52 	$329.60 	$104.40 	$178.55 	$135.01 	$144.12 	$68.16 	$135.01 	$144.12 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
